#,Waktu Gempa,Lintang - Bujur,Magnitudo,Kedalaman
1,"06/04/2024
15:24:31 WIB",3.06 LS 138.36 BT,5.2,101 Km
2,"04/04/2024
17:51:51 WIB",5.68 LS 112.41 BT,4.1,10 Km
3,"03/04/2024
16:02:16 WIB",5.73 LS 112.37 BT,5.6,10 Km
4,"03/04/2024
01:35:48 WIB",5.67 LS 112.6 BT,4.1,5 Km
5,"02/04/2024
21:05:23 WIB",1.38 LS 115.52 BT,2.8,10 Km
6,"01/04/2024
19:43:23 WIB",3.47 LS 120.35 BT,3.2,6 Km
7,"01/04/2024
17:26:26 WIB",5.71 LS 112.49 BT,4.7,10 Km
8,"01/04/2024
06:05:19 WIB",5.73 LS 122.64 BT,3.3,5 Km
9,"01/04/2024
03:21:20 WIB",5.71 LS 122.66 BT,2.9,5 Km
10,"31/03/2024
20:09:45 WIB",5.7 LS 112.37 BT,4.7,10 Km
11,"31/03/2024
13:09:31 WIB",3.73 LS 114.78 BT,2.8,10 Km
12,"31/03/2024
05:59:21 WIB",5.77 LS 112.55 BT,4,10 Km
13,"31/03/2024
04:43:18 WIB",5.7 LS 112.56 BT,4.1,10 Km
14,"30/03/2024
19:06:30 WIB",8.38 LS 119.29 BT,4.3,13 Km
15,"29/03/2024
21:22:42 WIB",6.73 LS 106.63 BT,3,4 Km
16,"29/03/2024
04:23:03 WIB",5.86 LS 112.52 BT,4.8,10 Km
17,"28/03/2024
15:01:52 WIB",9.3 LS 110.17 BT,5,10 Km
18,"28/03/2024
09:28:14 WIB",3.66 LS 116.15 BT,3.3,6 Km
19,"28/03/2024
02:46:59 WIB",8.5 LS 116.87 BT,3.2,11 Km
20,"27/03/2024
15:10:12 WIB",2.14 LS 136.64 BT,4.1,17 Km
